date,deaths,cases
2020-04-06,1526.0,30916.0
2020-03-13,7.0,556.0
2020-08-03,608.0,47484.0
2020-12-16,3611.0,245033.0
2020-06-07,390.0,18616.0
2020-05-18,846.0,21827.0
2020-01-21,0.0,1.0
2020-04-22,2371.0,28831.0
2020-11-12,1172.0,163491.0
2020-06-04,1008.0,21616.0
2020-01-22,0.0,0.0
2020-12-03,2857.0,217959.0
2020-11-02,540.0,93739.0
2020-04-15,2752.0,30033.0
2020-09-30,974.0,42058.0
2020-07-26,440.0,54217.0
2021-01-10,1777.0,208424.0
2020-11-24,2209.0,178290.0
2020-07-07,958.0,54084.0
2020-10-16,891.0,70463.0
2020-08-17,535.0,37523.0
2020-05-22,1288.0,23799.0
2020-05-02,1583.0,29474.0
2020-11-08,464.0,103416.0
2020-07-16,958.0,75687.0
2020-11-14,1210.0,159121.0
2020-08-02,420.0,50794.0
2020-07-08,948.0,59455.0
2020-02-25,0.0,2.0
2020-09-03,1078.0,46394.0
2020-05-14,1738.0,26962.0
2020-01-23,0.0,0.0
2020-03-30,650.0,21469.0
2020-02-21,0.0,3.0
2020-11-16,796.0,166454.0
2020-07-18,775.0,62451.0
2020-05-06,2708.0,24506.0
2020-02-03,0.0,0.0
2020-11-03,1130.0,92630.0
2020-10-15,793.0,65353.0
2021-01-08,3895.0,300594.0
2020-01-24,0.0,1.0
2020-11-15,623.0,135187.0
2020-08-25,1213.0,39183.0
2020-10-01,847.0,46418.0
2020-12-30,3808.0,229038.0
2021-01-03,1353.0,201980.0
2020-10-26,538.0,74497.0
2020-02-14,0.0,0.0
2020-10-10,592.0,51648.0
2020-11-01,427.0,74224.0
2020-06-18,727.0,28059.0
2020-02-10,0.0,1.0
2020-11-22,843.0,141034.0
2020-05-07,1958.0,28478.0
2020-04-07,2234.0,30337.0
2020-12-05,2190.0,205757.0
2020-09-28,350.0,37360.0
2020-06-03,989.0,19987.0
2020-07-05,262.0,44767.0
2020-10-11,419.0,44783.0
2020-05-24,620.0,20031.0
2020-04-13,1764.0,25769.0
2020-02-07,0.0,0.0
2020-02-09,0.0,0.0
2020-03-06,3.0,83.0
2020-04-09,2120.0,34699.0
2020-09-10,915.0,38060.0
2020-05-20,1477.0,23070.0
2020-12-25,1129.0,100994.0
2020-09-21,430.0,54950.0
2020-08-10,537.0,47173.0
2020-05-04,1089.0,21962.0
2020-05-12,1652.0,22300.0
2020-06-28,271.0,39508.0
2020-06-19,698.0,30836.0
2020-06-13,692.0,25334.0
2020-12-20,1429.0,179956.0
2020-09-07,263.0,25166.0
2020-05-29,1190.0,24548.0
2020-04-29,2514.0,26555.0
2020-07-13,425.0,61567.0
2020-02-05,0.0,1.0
2020-08-29,871.0,44610.0
2020-08-15,1059.0,50743.0
2020-03-21,83.0,6516.0
2020-08-21,1161.0,49029.0
2020-02-23,0.0,0.0
2020-04-08,2085.0,31820.0
2020-04-04,1556.0,35099.0
2020-02-22,0.0,0.0
2020-01-25,0.0,1.0
2020-04-23,2169.0,33776.0
2020-02-13,0.0,1.0
2020-10-07,996.0,53017.0
2020-06-15,448.0,20117.0
2021-01-04,2048.0,251918.0
2020-10-02,865.0,53580.0
2020-07-17,901.0,70923.0
2020-03-20,65.0,5619.0
2020-05-13,1768.0,21145.0
2020-11-26,1179.0,103104.0
2020-04-28,2394.0,24651.0
2020-02-06,0.0,0.0
2020-03-08,3.0,119.0
2020-09-25,853.0,54581.0
2020-07-03,591.0,57154.0
2020-05-11,982.0,17621.0
2020-03-26,299.0,16998.0
2020-10-25,339.0,59712.0
2020-05-10,932.0,20317.0
2020-04-20,1837.0,27395.0
2020-03-22,98.0,8545.0
2020-12-04,2637.0,231181.0
2020-10-23,926.0,85131.0
2020-11-23,1038.0,179099.0
2020-04-05,1368.0,25616.0
2020-02-24,0.0,13.0
2020-11-25,2313.0,180536.0
2020-06-09,1030.0,18805.0
2020-04-17,2289.0,31509.0
2020-03-04,2.0,36.0
2020-07-21,1127.0,65277.0
2020-04-11,2084.0,31720.0
2020-11-06,1246.0,132872.0
2020-09-18,949.0,48887.0
2020-08-20,1043.0,46029.0
2020-06-26,633.0,45528.0
2020-03-05,0.0,67.0
2020-07-04,261.0,50006.0
2020-11-27,1412.0,205462.0
2020-11-04,1616.0,107883.0
2020-07-28,1327.0,63116.0
2020-07-10,828.0,68227.0
2020-03-14,10.0,674.0
2020-07-11,675.0,60721.0
2020-11-17,1607.0,161745.0
2020-09-20,213.0,36356.0
2020-06-16,769.0,24885.0
2020-04-01,1021.0,26930.0
2020-09-22,941.0,37391.0
2020-08-22,950.0,45026.0
2020-06-06,728.0,22516.0
2020-03-11,6.0,245.0
2020-12-13,1357.0,184248.0
2020-02-16,0.0,0.0
2021-01-06,3964.0,255728.0
2020-10-06,721.0,42862.0
2020-06-30,1300.0,48389.0
2020-02-01,0.0,1.0
2021-01-05,3689.0,235051.0
2021-01-02,2373.0,291384.0
2020-09-27,267.0,37298.0
2020-03-17,26.0,1399.0
2020-04-26,1253.0,26735.0
2021-01-09,3261.0,252056.0
2020-12-09,3157.0,219678.0
2020-09-24,885.0,45202.0
2020-09-17,849.0,45310.0
2020-10-18,387.0,47882.0
2020-06-02,1082.0,20791.0
